month,depth,par,chla
FEB,0.1,1230,4.74
FEB,1,1070,4.97
FEB,2,176,4.8
FEB,3,118,5.2
FEB,4,79,5.23
FEB,5,55,5.53
FEB,6,35,5.53
FEB,7,22,5.29
FEB,8,17,5.47
FEB,9,10,5.6
FEB,10,4,5.76
FEB,11,3,5.87
FEB,12,1,6.19
FEB,13,1,6.21
FEB,14,3,6.11
FEB,15,4,5.96
FEB,16,4,5.9
FEB,17,5,5.69
FEB,18,5,5.65
FEB,19,5,5.51
FEB,20,6,5.36
FEB,21,6,4.99
FEB,22,6,4.72
FEB,23,6,4.29
FEB,24,6,3.45
FEB,25,6,3.04
FEB,26,6,2.78
FEB,27,6,2.49
FEB,28,7,2.24
FEB,29,7,2.14
FEB,30,7,2.12
FEB,31,7,0
FEB,32,7,1.25
FEB,33,7,1.02
FEB,34,7,0.21
FEB,35,7,0.68
FEB,36,7,0.61
FEB,37,7,0.63
FEB,38,7,0.405
FEB,39,7,0.18
FEB,40,7,0.1
FEB,41,7,0.18
FEB,42,7,0.17
FEB,43,7,0.16
FEB,44,7,0.18
FEB,45,7,0.15
FEB,46,7,0.12
FEB,47,7,0.12
FEB,48,7,0.13
FEB,49,7,0.13
FEB,50,7,0.13
FEB,51,7,0.15
FEB,52,7,0.14
FEB,53,7,0.11
FEB,54,7,0.1
FEB,55,7,0.15
FEB,56,8,0.16
FEB,57,7,0.17
FEB,58,7,0.19
FEB,59,8,0.2
FEB,60,8,0.19
FEB,61,8,0.19
FEB,62,8,0.16
FEB,63,8,0.16
FEB,64,8,0.16
FEB,65,7,0.13
FEB,66,8,0.08
FEB,67,8,0.11
FEB,68,7,0.13
FEB,69,8,0.13
FEB,70,8,0.14
FEB,71,8,0.14
FEB,72,8,0.15
FEB,73,7,0.15
FEB,74,8,0.2
FEB,75,8,0.17
FEB,76,7,0.19
FEB,77,8,0.2
FEB,78,8,0.14
FEB,79,8,0.15
FEB,80,8,0.13
FEB,81,8,0.11
FEB,82,8,0.11
FEB,83,8,0.13
FEB,84,8,0.09
FEB,85,8,0.07
FEB,86,8,0.07
FEB,87,8,0.07
FEB,88,8,0.07
FEB,89,8,0.06
FEB,90,8,0.07
FEB,91,8,0.08
FEB,92,8,0.12
FEB,93,8,0.11
FEB,94,8,0.11
FEB,95,8,0.17
FEB,96,8,0.15
FEB,97,8,0.19
FEB,98,8,0.18
FEB,99,8,0.16
FEB,100,8,0.15
MAR,0.1,3994,0.49
MAR,1,4412,0.5
MAR,2,593,0.45
MAR,3,333,0.72
MAR,4,309,0.93
MAR,5,223,1.01
MAR,6,179,1.11
MAR,7,153,1.91
MAR,8,110,2.01
MAR,9,89,1.95
MAR,10,67,2.02
MAR,11,57,2.01
MAR,12,42,2.04
MAR,13,35,2.07
MAR,14,26,2.1
MAR,15,23,2.83
MAR,16,17,2.53
MAR,17,13,2.62
MAR,18,11,2.67
MAR,19,8,3.02
MAR,20,5,3.45
MAR,21,4,3.86
MAR,22,2,4.3
MAR,23,1,4.78
MAR,24,1,5.34
MAR,25,1,5.77
MAR,26,2,5.76
MAR,27,3,6
MAR,28,3,6.15
MAR,29,3,5.83
MAR,30,4,5.75
MAR,31,4,5.23
MAR,32,4,4.71
MAR,33,4,4.17
MAR,34,4,3.8
MAR,35,4,3.62
MAR,36,4,3.3
MAR,37,4,3.13
MAR,38,4,3.04
MAR,39,4,3.02
MAR,40,4,2.79
MAR,41,5,2.86
MAR,42,5,2.74
MAR,43,5,2.51
MAR,44,5,2.17
MAR,45,5,2.3
MAR,46,5,2.22
MAR,47,5,2.3
MAR,48,5,2.33
MAR,49,5,2.13
MAR,50,6,1.55
MAR,51,6,1.55
MAR,52,6,0.97
MAR,53,6,2.07
MAR,54,6,0.75
MAR,55,6,0.8
MAR,56,6,0.52
MAR,57,6,0.96
MAR,58,6,1.01
MAR,59,6,0.9
MAR,60,6,0.86
MAR,61,6,0
MAR,62,6,0.93
MAR,63,7,0.14
MAR,64,7,0.22
MAR,65,7,0.08
MAR,66,7,0.19
MAR,67,7,0.14
MAR,68,7,0.77
MAR,69,7,0.46
MAR,70,7,0.34
MAR,71,8,0.05
MAR,72,8,0.42
MAR,73,8,0.5
MAR,74,8,1.11
MAR,75,8,0.27
MAR,76,8,0.42
MAR,77,8,0.36
MAR,78,8,0.38
MAR,79,7,0.45
MAR,80,8,0.42
MAR,81,7,0.4
MAR,82,7,0.35
MAR,83,7,0.35
MAR,84,8,0.32
MAR,85,8,1.57
MAR,86,8,1
MAR,87,8,0.33
MAR,88,7,0.74
MAR,89,8,0.23
MAR,90,7,0.68
MAR,91,8,0.77
MAR,92,8,1.1
MAR,93,8,1.3
MAR,94,8,0.72
MAR,95,8,0.63
MAR,96,7,0.53
MAR,97,8,0.66
MAR,98,8,0.58
MAR,99,8,0.58
MAR,100,8,0.59
ABR,0.1,4409,0.07
ABR,1,4332,0.09
ABR,2,810,0.08
ABR,3,901,0.07
ABR,4,822,0.08
ABR,5,666,0.13
ABR,6,587,0.15
ABR,7,501,0.17
ABR,8,475,0.23
ABR,9,475,0.23
ABR,10,341,0.27
ABR,11,303,0.31
ABR,12,258,0.34
ABR,13,199,0.49
ABR,14,199,0.49
ABR,15,171,0.53
ABR,16,141,0.56
ABR,17,118,0.59
ABR,18,97,0.62
ABR,19,97,0.62
ABR,20,82,0.63
ABR,21,72,0.64
ABR,22,61,0.64
ABR,23,51,0.63
ABR,24,51,0.63
ABR,25,44,0.63
ABR,26,42,0.64
ABR,27,37,0.65
ABR,28,32,0.66
ABR,29,29,0.67
ABR,30,26,0.69
ABR,31,24,0.71
ABR,32,22,0.73
ABR,33,21,0.73
ABR,34,19,0.75
ABR,35,18,0.74
ABR,36,18,0.72
ABR,37,15,0.61
ABR,38,14,0.62
ABR,39,14,0.62
ABR,40,13,0.78
ABR,41,13,0.72
ABR,42,12,0.65
ABR,43,12,0.61
ABR,44,11,0.59
ABR,45,11,0.58
ABR,46,11,0.53
ABR,47,11,0.51
ABR,48,10,0.46
ABR,49,10,0.4
ABR,50,10,0.4
ABR,51,10,0.37
ABR,52,10,0.31
ABR,53,9,0.29
ABR,54,9,0.24
ABR,55,9,0.2
ABR,56,9,0.19
ABR,57,9,0.18
ABR,58,9,0.17
ABR,59,9,0.15
ABR,60,8,0.11
ABR,61,9,0.1
ABR,62,8,0.07
ABR,63,8,0.07
ABR,64,8,0.08
ABR,65,8,0.07
ABR,66,9,0.08
ABR,67,9,0.09
ABR,68,8,0.09
ABR,69,8,0.08
ABR,70,9,0.08
ABR,71,9,0.06
ABR,72,8,0.05
ABR,73,8,0.05
ABR,74,8,0.05
ABR,75,8,0.04
ABR,76,8,0.04
ABR,77,8,0.03
ABR,78,8,0.02
ABR,79,8,0.02
ABR,80,9,0.02
ABR,81,8,0.02
ABR,82,8,0.02
ABR,83,8,0.02
ABR,84,8,0.02
ABR,85,8,0.02
ABR,86,8,0.01
ABR,87,8,0.01
ABR,88,8,0.01
ABR,89,8,0.01
ABR,90,8,0.01
ABR,91,8,0.01
ABR,92,8,0
ABR,93,8,0.01
ABR,94,8,0.01
ABR,95,9,0.01
ABR,96,8,0.01
ABR,97,8,0.01
ABR,98,8,0.01
ABR,99,8,0.01
ABR,100,8,0.01
MAY,0.1,4365,0.28
MAY,1,4114,0.27
MAY,2,1246,0.27
MAY,3,494,0.29
MAY,4,436,0.36
MAY,5,406,0.44
MAY,6,321,0.47
MAY,7,302,0.48
MAY,8,212,0.53
MAY,9,171,0.56
MAY,10,145,0.56
MAY,11,129,0.55
MAY,12,112,0.56
MAY,13,89,0.56
MAY,14,77,0.57
MAY,15,68,0.58
MAY,16,55,0.6
MAY,17,49,0.62
MAY,18,41,0.63
MAY,19,35,0.66
MAY,20,28,0.68
MAY,21,25,0.68
MAY,22,22,0.69
MAY,23,18,0.72
MAY,24,16,0.74
MAY,25,14,0.75
MAY,26,12,0.77
MAY,27,10,0.8
MAY,28,9,1.32
MAY,29,8,0.98
MAY,30,7,0.98
MAY,31,7,1
MAY,32,6,1.67
MAY,33,6,0.92
MAY,34,5,0.79
MAY,35,5,0.92
MAY,36,5,0.92
MAY,37,4,0.89
MAY,38,4,0.89
MAY,39,4,0.88
MAY,40,3,0.85
MAY,41,4,0.81
MAY,42,3,0.72
MAY,43,3,0.66
MAY,44,3,0.62
MAY,45,3,0.52
MAY,46,3,0.47
MAY,47,3,0.42
MAY,48,3,0.39
MAY,49,3,0.35
MAY,50,3,0.34
MAY,51,3,0.33
MAY,52,3,0.32
MAY,53,2,0.31
MAY,54,2,0.29
MAY,55,2,0.25
MAY,56,2,0.24
MAY,57,2,0.16
MAY,58,2,0.13
MAY,59,2,0.11
MAY,60,2,0.1
MAY,61,2,0.1
MAY,62,2,0.09
MAY,63,2,0.08
MAY,64,2,0.07
MAY,65,2,0.11
MAY,66,2,0.1
MAY,67,2,0.1
MAY,68,2,0.09
MAY,69,2,0.1
MAY,70,2,0.08
MAY,71,2,0.03
MAY,72,2,0.03
MAY,73,2,0.03
MAY,74,2,0.02
MAY,75,2,0.02
MAY,76,2,0.03
MAY,77,2,0.02
MAY,78,2,0.02
MAY,79,2,0.01
MAY,80,2,0.01
MAY,81,2,0.01
MAY,82,2,0.01
MAY,83,2,0.01
MAY,84,2,0.01
MAY,85,2,0.01
MAY,86,2,0.01
MAY,87,1,0.01
MAY,88,2,0.01
MAY,89,2,0.02
MAY,90,2,0.02
MAY,91,2,0.01
MAY,92,2,0.02
MAY,93,2,0.02
MAY,94,2,0.02
MAY,95,2,0.02
MAY,96,2,0.02
MAY,97,2,0.02
MAY,98,2,0.01
MAY,99,2,0.01
MAY,100,2,0.01
JUN,0.1,4409,0.13
JUN,1,4332,0.1
JUN,2,810,0.1
JUN,3,901,0.11
JUN,4,822,0.12
JUN,5,666,0.12
JUN,6,587,0.14
JUN,7,501,0.16
JUN,8,475,0.19
JUN,9,475,0.21
JUN,10,341,0.23
JUN,11,303,0.26
JUN,12,258,0.28
JUN,13,199,0.35
JUN,14,199,0.36
JUN,15,171,0.37
JUN,16,141,0.37
JUN,17,118,0.39
JUN,18,97,0.4
JUN,19,97,0.4
JUN,20,82,0.43
JUN,21,72,0.46
JUN,22,61,0.49
JUN,23,51,0.49
JUN,24,51,0.51
JUN,25,44,0.53
JUN,26,42,0.53
JUN,27,37,0.54
JUN,28,32,0.59
JUN,29,29,0.62
JUN,30,26,0.62
JUN,31,24,0.61
JUN,32,22,0.6
JUN,33,21,0.62
JUN,34,19,0.62
JUN,35,18,0.62
JUN,36,18,0.6
JUN,37,15,0.58
JUN,38,14,0.58
JUN,39,14,0.56
JUN,40,13,0.53
JUN,41,13,0.44
JUN,42,12,0.39
JUN,43,12,0.36
JUN,44,11,0.36
JUN,45,11,0.34
JUN,46,11,0.32
JUN,47,11,0.32
JUN,48,10,0.3
JUN,49,10,0.29
JUN,50,10,0.27
JUN,51,10,0.2
JUN,52,10,0.19
JUN,53,9,0.19
JUN,54,9,0.15
JUN,55,9,0.1
JUN,56,9,0.09
JUN,57,9,0.07
JUN,58,9,0.06
JUN,59,9,0.06
JUN,60,8,0.06
JUN,61,9,0.05
JUN,62,8,0.05
JUN,63,8,0.05
JUN,64,8,0.06
JUN,65,8,0.05
JUN,66,9,0.05
JUN,67,9,0.05
JUN,68,8,0.05
JUN,69,8,0.04
JUN,70,9,0.03
JUN,71,9,0.03
JUN,72,8,0.02
JUN,73,8,0.01
JUN,74,8,0.01
JUN,75,8,0
JUN,76,8,0
JUN,77,8,0
JUN,78,8,0
JUN,79,8,-0.01
JUN,80,9,-0.01
JUN,81,8,-0.01
JUN,82,8,-0.01
JUN,83,8,-0.01
JUN,84,8,-0.01
